airport_name,Reason,num_cancel
"Charleston/Dunbar, WV: Yeager","National Air System",2
"Charlottesville, VA: Charlottesville Albemarle",Weather,2
"Columbia, MO: Columbia Regional",Weather,2
"Columbus, GA: Columbus Airport",Weather,2
"Dothan, AL: Dothan Regional",Carrier,2
"Flint, MI: Bishop International",Carrier,2
"Gainesville, FL: Gainesville Regional",Weather,2
"Gainesville, FL: Gainesville Regional",Carrier,2
"Gillette, WY: Gillette Campbell County",Carrier,2
"Grand Island, NE: Central Nebraska Regional",Weather,2
"Hilo, HI: Hilo International",Carrier,2
"Idaho Falls, ID: Idaho Falls Regional",Carrier,2
"Inyokern, CA: Inyokern Airport",Carrier,2
"Inyokern, CA: Inyokern Airport",Weather,2
"Juneau, AK: Juneau International",Carrier,2
"Kalamazoo, MI: Kalamazoo/Battle Creek International",Carrier,2
"Lake Charles, LA: Lake Charles Regional",Weather,2
"Laramie, WY: Laramie Regional",Carrier,2
"Longview, TX: East Texas Regional",Weather,2
"Manhattan/Ft. Riley, KS: Manhattan Regional",Weather,2
"Marquette, MI: Sawyer International",Carrier,2
"Missoula, MT: Missoula International",Carrier,2
"Montgomery, AL: Montgomery Regional",Weather,2
"Rapid City, SD: Rapid City Regional",Weather,2
"Rhinelander, WI: Rhinelander/Oneida County",Carrier,2
"Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field","National Air System",2
"Rock Springs, WY: Southwest Wyoming Regional",Carrier,2
"Santa Maria, CA: Santa Maria Public/Capt. G. Allan Hancock Field",Carrier,2
"Waterloo, IA: Waterloo Regional",Weather,2
"Williston, ND: Sloulin Field International","National Air System",2
"Williston, ND: Sloulin Field International",Carrier,2
"Alpena, MI: Alpena County Regional","National Air System",1
"Bangor, ME: Bangor International","National Air System",1
"Bemidji, MN: Bemidji Regional",Weather,1
"Bemidji, MN: Bemidji Regional",Carrier,1
"Bozeman, MT: Bozeman Yellowstone International",Carrier,1
"Brainerd, MN: Brainerd Lakes Regional",Carrier,1
"Brainerd, MN: Brainerd Lakes Regional","National Air System",1
"Brunswick, GA: Brunswick Golden Isles",Carrier,1
"Charlotte Amalie, VI: Cyril E King",Carrier,1
"Durango, CO: Durango La Plata County",Weather,1
"Elmira/Corning, NY: Elmira/Corning Regional",Carrier,1
"Erie, PA: Erie International/Tom Ridge Field",Weather,1
"Escanaba, MI: Delta County",Carrier,1
"Fairbanks, AK: Fairbanks International",Weather,1
"Fairbanks, AK: Fairbanks International",Carrier,1
"Fayetteville, NC: Fayetteville Regional/Grannis Field",Weather,1
"Fayetteville, NC: Fayetteville Regional/Grannis Field","National Air System",1
"Garden City, KS: Garden City Regional",Weather,1
"Great Falls, MT: Great Falls International",Weather,1
"Great Falls, MT: Great Falls International",Carrier,1
"Gunnison, CO: Gunnison-Crested Butte Regional",Carrier,1
"Harlingen/San Benito, TX: Valley International","National Air System",1
"Harlingen/San Benito, TX: Valley International",Security,1
"Helena, MT: Helena Regional",Carrier,1
"International Falls, MN: Falls International Einarson Field","National Air System",1
"Iron Mountain/Kingsfd, MI: Ford",Carrier,1
"Ithaca/Cortland, NY: Ithaca Tompkins Regional",Weather,1
"Jackson, WY: Jackson Hole",Carrier,1
"Kalispell, MT: Glacier Park International",Carrier,1
"Klamath Falls, OR: Crater Lake Klamath Regional",Carrier,1
"Klamath Falls, OR: Crater Lake Klamath Regional","National Air System",1
"Kodiak, AK: Kodiak Airport",Weather,1
"Kodiak, AK: Kodiak Airport",Carrier,1
"La Crosse, WI: La Crosse Regional",Carrier,1
"La Crosse, WI: La Crosse Regional",Weather,1
"Martha's Vineyard, MA: Martha's Vineyard Airport",Carrier,1
"Minot, ND: Minot International",Weather,1
"Montrose/Delta, CO: Montrose Regional",Carrier,1
"Newburgh/Poughkeepsie, NY: New York Stewart International",Carrier,1
"Newport News/Williamsburg, VA: Newport News/Williamsburg International",Weather,1
"North Bend/Coos Bay, OR: Southwest Oregon Regional",Carrier,1
"Panama City, FL: Northwest Florida Beaches International",Weather,1
"Redding, CA: Redding Municipal",Weather,1
"Redding, CA: Redding Municipal","National Air System",1
"Redding, CA: Redding Municipal",Carrier,1
"Santa Fe, NM: Santa Fe Municipal",Carrier,1
"Santa Fe, NM: Santa Fe Municipal",Weather,1
"Sault Ste. Marie, MI: Chippewa County International",Carrier,1
"Sault Ste. Marie, MI: Chippewa County International",Weather,1
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",Carrier,1
"Sioux City, IA: Sioux Gateway Brig Gen Bud Day Field",Weather,1
"Sitka, AK: Sitka Rocky Gutierrez",Carrier,1
"Spokane, WA: Spokane International",Carrier,1
"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",Carrier,1
"Sun Valley/Hailey/Ketchum, ID: Friedman Memorial",Weather,1
"Tallahassee, FL: Tallahassee International","National Air System",1
"Trenton, NJ: Trenton Mercer",Carrier,1
"Valdosta, GA: Valdosta Regional",Weather,1
"Watertown, NY: Watertown International",Weather,1
"Wilmington, NC: Wilmington International",Carrier,1
